,state,latitude,longitude,intrastate_gaspipe_within_10miles,interstate_gaspipe_within_10miles,mental_health_provider,mental_health_RGB
245,Michigan,43.1200272,-85.5600316,False,False,677.0,"(187, 204, 199)"
246,Michigan,46.4980839,-88.8173882,False,False,677.0,"(187, 204, 199)"
247,Michigan,,,False,False,677.0,"(187, 204, 199)"
248,Michigan,44.9298878,-85.36624239999999,False,False,677.0,"(187, 204, 199)"
249,Michigan,45.8463043,-88.0917838,False,False,677.0,"(187, 204, 199)"
250,Michigan,45.8463043,-88.0917838,False,False,677.0,"(187, 204, 199)"
251,Michigan,42.75223159999999,-83.23920280000002,True,False,677.0,"(187, 204, 199)"
252,Michigan,41.75810800000001,-83.62601099999999,False,False,677.0,"(187, 204, 199)"
253,Michigan,43.0195709,-83.37995769999999,True,False,677.0,"(187, 204, 199)"
254,Michigan,42.7336193,-84.55539189999999,False,False,677.0,"(187, 204, 199)"
255,Michigan,42.2350392,-83.1615501,True,False,677.0,"(187, 204, 199)"
256,Michigan,43.9372364,-84.8690475,False,False,677.0,"(187, 204, 199)"
257,Michigan,42.3970209,-83.373699,True,False,677.0,"(187, 204, 199)"
258,Michigan,,,False,False,677.0,"(187, 204, 199)"
259,Michigan,,,False,False,677.0,"(187, 204, 199)"
260,Michigan,42.36624,-83.37369,True,False,677.0,"(187, 204, 199)"
261,Michigan,42.3557663,-83.34537519999999,True,False,677.0,"(187, 204, 199)"
262,Michigan,42.41347400000001,-83.36282059999999,True,False,677.0,"(187, 204, 199)"
263,Michigan,,,False,False,677.0,"(187, 204, 199)"
264,Michigan,46.3549984,-85.50955859999999,False,False,677.0,"(187, 204, 199)"
265,Michigan,,,False,False,677.0,"(187, 204, 199)"
266,Michigan,,,False,False,677.0,"(187, 204, 199)"
267,Michigan,45.8683129,-84.6275658,False,False,677.0,"(187, 204, 199)"
268,Michigan,45.8510096,-84.61233829999999,False,False,677.0,"(187, 204, 199)"
269,Michigan,45.7487574,-84.4162484,False,False,677.0,"(187, 204, 199)"
270,Michigan,45.8520988,-84.61739779999999,False,False,677.0,"(187, 204, 199)"
271,Michigan,45.851135,-84.626205,False,False,677.0,"(187, 204, 199)"
272,Michigan,45.817377,-84.72776549999999,False,False,677.0,"(187, 204, 199)"
273,Michigan,45.8509853,-84.6167072,False,False,677.0,"(187, 204, 199)"
274,Michigan,45.851374,-84.605211,False,False,677.0,"(187, 204, 199)"
275,Michigan,45.851374,-84.605211,False,False,677.0,"(187, 204, 199)"
276,Michigan,45.8587269,-84.620735,False,False,677.0,"(187, 204, 199)"
277,Michigan,45.8582146,-84.6127267,False,False,677.0,"(187, 204, 199)"
278,Michigan,45.8492622,-84.6179923,False,False,677.0,"(187, 204, 199)"
279,Michigan,45.85236889999999,-84.6042377,False,False,677.0,"(187, 204, 199)"
280,Michigan,45.8683129,-84.6275658,False,False,677.0,"(187, 204, 199)"
281,Michigan,42.521548,-83.11239499999999,True,False,677.0,"(187, 204, 199)"
282,Michigan,42.4880996,-83.10105349999999,True,False,677.0,"(187, 204, 199)"
283,Michigan,,,False,False,677.0,"(187, 204, 199)"
284,Michigan,44.245691,-86.323636,False,False,677.0,"(187, 204, 199)"
285,Michigan,,,False,False,677.0,"(187, 204, 199)"
286,Michigan,42.3454506,-82.9277984,True,False,677.0,"(187, 204, 199)"
287,Michigan,42.7146215,-82.49271159999999,False,False,677.0,"(187, 204, 199)"
288,Michigan,42.0762436,-85.8967468,False,False,677.0,"(187, 204, 199)"
289,Michigan,46.841653,-87.679969,False,False,677.0,"(187, 204, 199)"
290,Michigan,46.53997560000001,-87.40418489999999,False,False,677.0,"(187, 204, 199)"
291,Michigan,46.5447206,-87.3920529,False,False,677.0,"(187, 204, 199)"
292,Michigan,46.55960320000001,-87.4044868,False,False,677.0,"(187, 204, 199)"
293,Michigan,46.55960320000001,-87.4044868,False,False,677.0,"(187, 204, 199)"
294,Michigan,46.55960320000001,-87.4044868,False,False,677.0,"(187, 204, 199)"
295,Michigan,46.55960320000001,-87.4044868,False,False,677.0,"(187, 204, 199)"
296,Michigan,46.55960320000001,-87.4044868,False,False,677.0,"(187, 204, 199)"
297,Michigan,46.53997560000001,-87.40418489999999,False,False,677.0,"(187, 204, 199)"
298,Michigan,46.5447206,-87.3920529,False,False,677.0,"(187, 204, 199)"
