x-coordinate,y-coordinate,Similarity_score
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000094.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000082.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000020.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000077.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000098.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000061.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000036.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000037.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000060.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000076.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000099.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000021.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000083.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000095.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000056.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000001.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000017.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000040.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000026.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000071.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000067.json,1.0
/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000032.json,/Users/kirthichillakanti/Documents/GitHub/DSCI-550-Assignment-1/scripts/../all_json_files/dir_001/row_000088.json,1.0
